Ttile,Annotation,PDF
Title:Evaluating the Evidence for Water World Populations using Mixture Models,"
Abstract:  Water worlds have been hypothesized as an alternative to photo-evaporation in
order to explain the gap in the radius distribution of Kepler exoplanets. We
explore water worlds within the framework of a joint mass-radius-period
distribution of planets fit to a sample of transiting Kepler exoplanets, a
subset of which have radial velocity mass measurements. We employ hierarchical
Bayesian modeling to create a range of ten mixture models that include multiple
compositional subpopulations of exoplanets. We model these subpopulations -
including planets with gaseous envelopes, evaporated rocky cores, evaporated
icy cores, intrinsically rocky planets, and intrinsically icy planets - in
different combinations in order to assess which combinations are most favored
by the data. Using cross-validation, we evaluate the support for models that
include planets with icy compositions compared to the support for models that
do not, finding broad support for both. We find significant population-level
degeneracies between subpopulations of water worlds and planets with primordial
envelopes. Among models that include one or more icy-core subpopulations, we
find a wide range for the fraction of planets with icy compositions, with a
rough upper limit of 50%. Improved datasets or alternative modeling approaches
may better be able to distinguish between these subpopulations of planets.

    ",https://arxiv.org/pdf/2205.00006
Title:NGC 5236's stars as tracers of arms and arm widths in spiral galaxies,"
Abstract:  Generally, identifying the spiral arms of a spiral galaxy is not a hard task.
However, defining the main characteristics, width and length of those structure
is not a common task. Previous studies have used different tracers: Star
clusters, Massers, H$\alpha$. It was until recently that individual stars were
used as tracers of spiral structures. The basic method of measuring the width
of spiral arms assumes a Gaussian distribution around the mean concentration,
either of gas or other tracer. In this work we use NGC 5236's stars as tracers.
We estimated the surface stellar density of arms and inter-arm regions to
measure the width of the arms. As a test case, this works focused on NGC 5236
(M83). We find that field stellar populations can trace the (two) main spiral
arms of NGC 5236. We find a correlation between the arm width and the
galactocentric radii, found using other tracers. The slope of the growth of the
width of the arm correlates with the morphological types of spiral galaxies. A
second finding of our study suggest the possible correlation between the width
of the arms and the corrotation radius, result that will be presented in a
follow up paper.

    ",https://arxiv.org/pdf/2205.00010
Title:A new look at local ultraluminous infrared galaxies: the atlas and radiative transfer models of their complex physics,"
Abstract:  We present the ultraviolet to submillimetre spectral energy distributions
(SEDs) of the HERschel Ultra Luminous Infrared Galaxy Survey (HERUS) sample of
42 local ultraluminous infrared galaxies (ULIRGs) and fit them with a Markov
chain Monte Carlo (MCMC) code using the CYprus models for Galaxies and their
NUclear Spectra (CYGNUS) radiative transfer models for starbursts, active
galactic nucleus (AGN) tori and host galaxy. The Spitzer IRS spectroscopy data
are included in the fitting. Our bayesian SED fitting method takes comparable
time to popular energy balance methods but it is more physically motivated and
versatile. All HERUS galaxies harbor high rates of star formation but we also
find bolometrically significant AGN in all of the galaxies of the sample. We
estimate the correction of the luminosities of the AGN in the ULIRGs due to the
anisotropic emission of the torus and find that it could be up to a factor of
$\sim10$ for nearly edge-on tori. We present a comparison of our results with
the smooth torus model of Fritz et al. and the two-phase models of Siebenmorgen
et al. and SKIRTOR. We find that the CYGNUS AGN torus models fit significantly
better the SEDs of our sample compared to all other models. We find no evidence
that strong AGN appear either at the beginning or end of a starburst episode or
that starbursts and AGN affect each other. IRAS 01003-2238 and Mrk 1014 show
evidence for dual AGN in their SED fits suggesting a minimum dual AGN fraction
in the sample of 5%.

    ",https://arxiv.org/pdf/2205.00011
Title:Turbulence in Milky Way Star-Forming Regions Traced by Young Stars and Gas,"
Abstract:  The interstellar medium (ISM) is turbulent on all scales and in all phases.
In this paper, we study turbulence with different tracers in four nearby
star-forming regions: Orion, Ophiuchus, Perseus, and Taurus. We combine the
APOGEE-2 and Gaia surveys to obtain the full 6-dimensional measurements of
positions and velocities of young stars in these regions. The velocity
structure functions (VSFs) of the stars show a universal scaling of turbulence.
We also obtain H{\alpha} gas kinematics in these four regions from the
Wisconsin H-Alpha Mapper. The VSFs of the H{\alpha} are more diverse compared
to the stars. In regions with recent supernova activities, they show
characteristics of local energy injections and higher amplitudes compared to
the VSFs of stars and of CO from the literature. Such difference in amplitude
of the VSFs can be explained by the different energy and momentum transport
from supernovae into different phases of the ISM, thus resulting in higher
levels of turbulence in the warm ionized phase traced by H{\alpha}. In regions
without recent supernova activities, the VSFs of young stars, H{\alpha}, and CO
are generally consistent, indicating well-coupled turbulence between different
phases. Within individual regions, the brighter parts of the H{\alpha} gas tend
to have a higher level of turbulence than the low-emission parts. Our findings
support a complex picture of the Milky Way ISM, where turbulence can be driven
at different scales and inject energy unevenly into different phases.

    ",https://arxiv.org/pdf/2205.00012
Title:A Triple Star Origin For T Pyx and Other Short-Period Recurrent Novae,"
Abstract:  Recurrent novae are star systems in which a massive white dwarf accretes
material at such a high rate that it undergoes thermonuclear runaways every 1 -
100 years. They are the only class of novae in which the white dwarf can grow
in mass, making some of these systems strong Type Ia supernova progenitor
candidates. Almost all known recurrent novae are long-period (P_orb > 12 hrs)
binary systems in which the requisite mass supply rate can be provided by an
evolved (sub-)giant donor star. However, at least two recurrent novae are
short-period (P_orb < 3 hrs) binaries in which mass transfer would normally be
driven by gravitational radiation at rates 3-4 orders of magnitude smaller than
required. Here, we show that the prototype of this class -- T Pyxidis -- has a
distant proper motion companion and therefore likely evolved from a
hierarchical triple star system. Triple evolution can naturally produce exotic
compact binaries as a result of three-body dynamics, either by Kozai-Lidov
eccentricity cycles in dynamically stable systems or via mass-loss-induced
dynamical instabilities. By numerically evolving triple progenitors with
physically reasonable parameters forward in time, we show explicitly that the
inner binary can become so eccentric that mass transfer is triggered at
periastron, driving the secondary out of thermal equilibrium. We suggest that
short-period recurrent novae likely evolved via this extreme state, explaining
their departure from standard binary evolution tracks.

    ",https://arxiv.org/pdf/2205.00014
Title:Subaru HSC weak lensing of SDSS redMaPPer cluster satellite galaxies: Empirical upper limit on orphan fractions,"
Abstract:  Weak gravitational lensing directly probes the matter distribution
surrounding satellite galaxies in galaxy clusters. We measure the weak lensing
signal induced on the shapes of background galaxies around SDSS redMaPPer
cluster satellite galaxies, which have their central galaxies assigned with a
probability $P_{\rm cen}>0.95$ in the redshift range, $0.1\leq z\leq 0.33$. We
use the galaxy shapes from the Subaru Hyper Suprime-Cam (HSC) survey for this
purpose. We bin satellite galaxies by their distance from the cluster centre
and compare it to the signal around a control sample of galaxies which do not
reside in clusters but have similar colours and magnitudes. We explore the
effect of environmental processes on the dark matter mass around satellites. We
see hints of a difference in the mass of the subhalo of the satellite compared
to the halo masses of galaxies in our control sample, especially in the
innermost cluster-centric radial bin ($0.1<r<0.3$ [$h^{-1}\rm Mpc$]). For the
first time, we put an upper limit on the prevalence of orphan galaxies which
have entirely lost their dark matter halos with cluster-centric distances with
the help of our measurements. However, these upper limits could be relaxed if
there is substantial contamination in the satellite galaxy sample.

    ",https://arxiv.org/pdf/2205.00018
Title:Constraints on cosmic rays in the Milky Way circumgalactic medium from OVIII observations,"
Abstract:  We constrain the cosmic ray (CR) population in the circumgalactic medium
(CGM) of Milky Way by comparing the observations of absorption lines of OVIII
ion with predictions from analytical models of CGM : precipitation (PP) and
isothermal (IT) model. For a CGM in hydrostatic equilibrium, the introduction
of CR suppresses thermal pressure, and affects the OVIII ion abundance. We
explore the allowances given to the ratio of CR pressure to thermal pressure
($\rm{P}_{\rm{CR}}/\rm{P}_{\rm{th}}=\eta$), with varying boundary conditions,
CGM mass content, photoionization by extragalactic ultraviolet background and
temperature fluctuations. We find that the allowed maximum values of $\eta$ are
: $\eta\lesssim10$ in the PP model and $\eta\lesssim6$ in the IT model. We also
explore the spatial variation of $\eta$ : rising ($\eta=Ax$) or declining
($\eta=A/x$) with radius, where A is the normalization of the profiles. In
particular, the models with declining ratio of CR to thermal pressure fare
better than those with rising ratio with suitable temperature fluctuation
(larger $\sigma_{\rm ln T}$ for PP and lower for IT). The declining profiles
allow $A\lesssim8$ and $A\lesssim10$ in the case of IT and PP models,
respectively, thereby accommodating a large value of $\eta \,(\simeq 200)$ in
the central region, but not in the outer regions. These limits, combined with
the limits derived from $\gamma$-ray and radio background, can be useful for
building models of Milky Way CGM including CR population. However, the larger
amount of CR can be packed in cold phase which may be one way to circumvent
these constraints.

    ",https://arxiv.org/pdf/2205.00020
"Title:Widespread, strong outflows in XQR-30 quasars at the Reionisation epoch","
Abstract:  Luminous quasars powered by accretion onto billion solar mass black holes
already exist at the epoch of Reionisation, when the Universe was 0.5-1 Gyr
old. These objects likely reside in over-dense regions of the Universe, and
will grow to form today's giant galaxies. How their huge black holes formed in
such short times is debated, particularly as they lie above the local black
hole mass-galaxy dynamical mass correlation, thus following the black
hole-dominance growth path. It is unknown what slowed down the black hole
growth, leading towards the symbiotic growth observed in the local Universe,
and when this process started, although black hole feedback is a likely driver.
This deadlock is due to the lack of large, homogeneous samples of high-redshift
quasars with high-quality, broad-band spectroscopic information. Here we report
results from a VLT/X-shooter survey of 30 quasars at redshift 5.8$\le$z$\le$6.6
(XQR-30). About 50% of their spectra reveal broad blue-shifted absorption line
(BAL) throughs, tracing powerful ionised winds. The BAL fraction in z$\gtrsim$6
quasars is 2-3 times higher than in quasars at z~2-4.5. XQR-30 BAL quasars
exhibit extreme outflow velocities, up to 17% of the light speed, rarely
observed at lower redshift. These outflows inject large amounts of energy into
the galaxy interstellar medium, which can contrast nuclear gas accretion,
slowing down the black-hole growth. The star-formation rate in high-z quasar
hosts is generally $>$100 M$_\odot$/yr, so these galaxies are growing at a fast
rate. The BAL phase may then mark the beginning of significant feedback, acting
first on black hole growth and possibly later on galaxy growth. The red optical
colors of BAL quasars at z$\gtrsim$6 indeed suggest that these systems are
dusty and may be caught during an initial quenching phase of obscured
accretion.

    ",https://arxiv.org/pdf/2205.00021
Title:Stellar and black hole assembly in z<0.3 infrared-luminous mergers: intermittent starbursts vs. super-Eddington accretion,"
Abstract:  We study stellar and black hole mass assembly in a sample of 42
infrared-luminous galaxy mergers at z<0.3 by combining results from radiative
transfer modelling with archival measures of molecular gas and black hole mass.
The ratios of stellar mass, molecular gas mass, and black hole mass to each
other are consistent with those of massive gas-rich galaxies at z<0.3. The
advanced mergers may show increased black hole mass to stellar mass ratios,
consistent with the transition from AGN to ellipticals and implying substantial
black hole mass growth over the course of the merger. Star formation rates are
enhanced relative to the local main sequence, by factors of ~100 in the
starburst and ~1.8 in the host. The starburst star formation rates appear
distinct to star formation in the main sequence at all redshifts up to at least
z~5. Starbursts may prefer late-stage mergers, but are observed at any merger
stage. We do not find evidence that the starbursts in these low-redshift
systems substantially increase the total stellar mass, with a soft upper limit
on the stellar mass increase from starburst activity of about a factor of two.
In contrast, 12 objects show evidence for super-Eddington accretion, associated
with late-stage mergers, suggesting that many AGN in infrared-luminous mergers
go through a super-Eddington phase. The super-Eddington phase may increase
black hole mass by up to an order of magnitude at an accretion efficiency of
42+/-33% over a period of 44+/-22Myr. Our results imply that super-Eddington
accretion is an important black hole growth channel in infrared-luminous
galaxies at all redshifts.

    ",https://arxiv.org/pdf/2205.00037
Title:Evidence for the Late Arrival of Hot Jupiters in Systems with High Host-star Obliquities,"
Abstract:  It has been shown that hot Jupiters systems with massive, hot stellar
primaries exhibit a wide range of stellar obliquities. On the other hand, hot
Jupiter systems with low-mass, cool primaries often have stellar obliquities
close to zero. Efficient tidal interactions between hot Jupiters and the
convective envelopes present in lower-mass main sequence stars have been a
popular explanation for these observations. If this explanation is accurate,
then aligned systems should be older than misaligned systems. Likewise, the
convective envelope mass of a hot Jupiter's host star should be an effective
predictor of its obliquity. We derive homogeneous stellar parameters --
including convective envelope masses -- for hot Jupiter host stars with
high-quality sky-projected obliquity inferences. Using a thin disk stellar
population's Galactic velocity dispersion as a relative age proxy, we find that
hot Jupiter host stars with larger-than-median obliquities are older than hot
Jupiter host stars with smaller-than-median obliquities. The relative age
difference between the two populations is larger for hot Jupiter host stars
with smaller-than-median fractional convective envelope masses and is
significant at the 3.6-$\sigma$ level. We identify stellar mass, not convective
envelope mass, as the best predictor of stellar obliquity in hot Jupiter
systems. The best explanation for these observations is that many hot Jupiters
in misaligned systems arrived in the close proximity of their host stars long
after their parent protoplanetary disks dissipated. The dependence of observed
age offset on convective envelope mass suggests that tidal realignment
contributes to the population of aligned hot Jupiters orbiting stars with
convective envelopes.

    ",https://arxiv.org/pdf/2205.00040
