Title,Annotation,PDF
"Title:
The origin of variability of the intermediate-mass black-hole ULX system  HLX-1 in ESO 243-49","
Abstract: The ultra-luminous intermediate-mass black-hole system HLX-1 in the ESO
243-49 galaxy exhibits variability with a possible recurrence time of a few
hundred days. Finding the origin of this variability would constrain the still
largely unknown properties of this extraordinary object. Since it exhibits an
intensity-hardness behavior characteristic of black-hole X-ray transients, we
have analyzed the variability of HLX-1 in the framework of the disk instability
model that explains outbursts of such systems. We find that the long-term
variability of HLX-1 is unlikely to be explained by a model in which outbursts
are triggered by thermal-viscous instabilities in an accretion disc. Possible
alternatives include the instability in a radiation-pressure dominated disk but
we argue that a more likely explanation is a modulated mass-transfer due to
tidal stripping of a star on an eccentric orbit around the intermediate-mass
black hole. We consider an evolutionary scenario leading to the creation of
such a system and estimate the probability of its observation. We conclude,
using a simplified dynamical model of the post-collapse cluster, that no more
than 1/100 to 1/10 of Mbh < 10^4 Msun IMBHs - formed by run-away stellar
mergers in the dense collapsed cores of young clusters - could have a few times
1 Msun Main-Sequence star evolve to an AGB on an orbit eccentric enough for
mass transfer at periapse, while avoiding collisional destruction or being
scattered into the IMBH by 2-body encounters. The finite but low probability of
this configuration is consistent with the uniqueness of HLX-1. We note,
however, that the actual response of a standard accretion disk to bursts of
mass transfer may be too slow to explain the observations unless the orbit is
close to parabolic (and hence even rarer) and/or additional heating, presumably
linked to the highly time-dependent gravitational potential, are invoked.
",https://export.arxiv.org/pdf/1102.4336
"Title:
Astrophysical Ionizing Radiation and the Earth: A Brief Review and  Census of Intermittent Intense Sources","
Abstract: Cosmic radiation backgrounds are a constraint on life, and their distribution
will affect the Galactic Habitable Zone. Life on Earth has developed in the
context of these backgrounds, and characterizing event rates will elaborate the
important influences. This in turn can be a base for comparison with other
potential life-bearing planets. In this review we estimate the intensities and
rates of occurrence of many kinds of strong radiation bursts by astrophysical
entities ranging from gamma-ray bursts at cosmological distances to the Sun
itself. Many of these present potential hazards to the biosphere: on timescales
long compared with human history, the probability of an event intense enough to
disrupt life on the land surface or in the oceans becomes large. We enumerate
the known sources of radiation and characterize their intensities at the Earth
and rates or upper limits on these quantities. When possible, we estimate a
""lethal interval"", our best estimate of how often a major extinction-level
event is probable given the current state of knowledge; we base these estimates
on computed or expected depletion of stratospheric ozone. In general, moderate
level events are dominated by the Sun, but the far more severe infrequent
events are probably dominated by gamma-ray bursts and supernovae. We note for
the first time that so-called ""short-hard"" gamma-ray bursts are a substantial
threat, comparable in magnitude to supernovae and greater than that of the
higher-luminosity long bursts considered in most past work. Given their
precursors, short bursts may come with little or no warning.
",https://export.arxiv.org/pdf/1102.2830
"Title:
Significance of Ultra High Energy Cosmic Rays","
Abstract: The study of ultra high energy cosmic rays is a very important scientific
problem. It is likely to have a huge impact in our understanding of the
universe. Very high energy particles have been observed to hit the Earth whose
origin is likely to be outside our Galaxy. Infact, particles with energies
exceeding 10^ (20) electron volts which only hit the earth once in a century
have been observed recently. The source of these high energy particles remains
a deep and fascinating mystery yet to be resolved. Recently, a huge detector 30
times the size of the city of Paris is built by Pierre Auger Observatory to
study these high energy particles. These detectors use the properties of
Cherenkov radiation to identify the particles.
Firstly, the paper will briefly explain the scientific motivation behind
studying ultra high energy cosmic rays. Secondly, this paper will try to
explain the reasons behind using water Cherenkov detectors. Thirdly, the paper
within its limited scope, will try to give an overview of the exact process by
which ultrahigh energy cosmic rays are detected using surface and water
Cherenkov detectors.
",https://export.arxiv.org/pdf/1102.0639
"Title:
The Luminosity Function of the NoSOCS Galaxy Cluster Sample","
Abstract: We present the analysis of the luminosity function of a large sample of
galaxy clusters from the Northern Sky Optical Cluster Survey, using latest data
from the Sloan Digital Sky Survey. Our global luminosity function (down to
M_r<= -16) does not show the presence of an upturn at faint magnitudes, while
we do observe a strong dependence of its shape on both richness and
cluster-centric radius, with a brightening of M^* and an increase of the dwarf
to giant ratio with richness, indicating that more massive systems are more
efficient in creating/retaining a population of dwarf satellites. This is
observed both within physical (0.5 R_200) and fixed (0.5 Mpc) apertures,
suggesting that the trend is either due to a global effect, operating at all
scales, or to a local one but operating on even smaller scales. We further
observe a decrease of the relative number of dwarf galaxies towards the cluster
center; this is most probably due to tidal collisions or collisional disruption
of the dwarfs since merging processes are inhibited by the high velocity
dispersions in cluster cores and, furthermore, we do not observe a strong
dependence of the bright end on the environment. We find indication that the
dwarf to giant ratio decreases with increasing redshift, within 0.07<z<0.2. We
also measure a trend for stronger suppression of faint galaxies (below M^*+2)
with increasing redshift in poor systems, with respect to more massive ones,
indicating that the evolutionary stage of less massive galaxies depends more
critically on the environment. Finally we point out that the luminosity
function is far from universal; hence the uncertainties introduced by the
different methods used to build a composite function may partially explain the
variety of faint-end slopes reported in the literature as well as, in some
cases, the presence of a faint-end upturn.
",https://export.arxiv.org/pdf/1102.5310
"Title:
On the anomalous secular increase of the eccentricity of the orbit of  the Moon","
Abstract: A recent analysis of a Lunar Laser Ranging (LLR) data record spanning 38.7 yr
revealed an anomalous increase of the eccentricity of the lunar orbit amounting
to de/dt_meas = (9 +/- 3) 10^-12 yr^-1. The present-day models of the
dissipative phenomena occurring in the interiors of both the Earth and the Moon
are not able to explain it. We examine several dynamical effects, not modeled
in the data analysis, in the framework of long-range modified models of gravity
and of the standard Newtonian/Einsteinian paradigm. It turns out that none of
them can accommodate de/dt_meas. Many of them do not even induce long-term
changes in e; other models do, instead, yield such an effect, but the resulting
magnitudes are in disagreement with de/dt_meas. In particular, the general
relativistic gravitomagnetic acceleration of the Moon due to the Earth's
angular momentum has the right order of magnitude, but the resulting
Lense-Thirring secular effect for the eccentricity vanishes. A potentially
viable Newtonian candidate would be a trans-Plutonian massive object (Planet
X/Nemesis/Tyche) since it, actually, would affect e with a non-vanishing
long-term variation. On the other hand, the values for the physical and orbital
parameters of such a hypothetical body required to obtain the right order of
magnitude for de/dt are completely unrealistic. Moreover, they are in neat
disagreement with both the most recent theoretical scenarios envisaging the
existence of a distant, planetary-sized body and with the model-independent
constraints on them dynamically inferred from planetary motions. Thus, the
issue of finding a satisfactorily explanation for the anomalous behavior of the
Moon's eccentricity remains open.
",https://export.arxiv.org/pdf/1102.0212
"Title:
Intensity mapping of molecular gas during cosmic reionization","
Abstract: I present a simple calculation of the expected mean CO brightness temperature
from the large scale distribution of galaxies during cosmic reionization. The
calculation is based on the cosmic star formation rate density required to
reionize, and keep ionized, the intergalactic medium, and uses standard
relationships between star formation rate, IR luminosity, and CO luminosity
derived for star forming galaxies over a wide range in redshift. I find that
the mean CO brightness temperature resulting from the galaxies that could
reionize the Universe at $z = 8$ is $T_B \sim 1.1 (C/5) (f_{esc}/0.1)^{-1}
\mu$K, where $f_{esc}$ is the escape fraction of ionizing photons from the
first galaxies, and $C$ is the IGM clumping factor. Intensity mapping of the CO
emission from the large scale structure of the star forming galaxies during
cosmic reionization on scales of order $10^2$ to 10$^3$ deg$^2$, in combination
with HI 21cm imaging of the neutral IGM, will provide a comprehensive study of
the earliest epoch of galaxy formation.
",https://export.arxiv.org/pdf/1102.0745
"Title:
X-ray bursts and superbursts - recent developments","
Abstract: The past decade and a half has seen many interesting new developments in
X-ray burst research, both observationally and theoretically. New phenomena
were discovered, such as burst oscillations and superbursts, and new regimes of
thermonuclear burning identified. An important driver of the research with
present and future instrumentation in the coming years is the pursuit of
fundamental neutron star parameters. However, several other more direct
questions are also in dire need of an answer. For instance, how are superbursts
ignited and why do burst oscillations exist in burst tails? We briefly review
recent developments and discuss the role that MAXI can play. Thanks to MAXI's
large visibility window and large duty cycle, it is particularly well suited to
investigate the recurrence of rare long duration bursts such as superbursts. An
exploratory study of MAXI data is briefly presented.
",https://export.arxiv.org/pdf/1102.3345
"Title:
Ionization Conditions in the Central Giant HII Region of NGC 5253","
Abstract: We are carrying out a detailed 2D spectroscopic study of the central 210 pc X
130 pc of the blue compact dwarf (BCD) galaxy NGC5253. This contribution
presents the ionization conditions and chemical abundance patterns for the
different kinematic components of the ionized gas detected in our previous
work. All the kinematic components present an excess in nitrogen abundance. In
particular, the broad velocity component has larger excess than the narrow one
by a factor of ~1.4+-0.4 which is consistent with a scenario for the Giant HII
Region where the broad component of the emission lines traces the material
expelled by the two central Super Star Clusters while the narrow one is
associated to previously existing ionized gas.
",https://export.arxiv.org/pdf/1102.0652
"Title:
The Planets around the Post-Common Envelope Binary NN Serpentis","
Abstract: We have detected 2 circumbinary planets around the close binary system NN
Serpentis using the orbital time delay effect measured via the sharp eclipses
of the white dwarf primary. The present pre-cataclysmic binary was formed when
the original - 2 M primary expanded into a red giant, causing the secondary
star to drop from its original orbit at a separation of about 1.4 A.U. down to
its current separation at 0.0043 A.U. A quasi-adiabatic evolution of the
circumbinary planets' orbits during the common-envelope phase would have placed
them in unstable configurations, suggesting that they may have suffered
significant orbital drag effects and were originally in much larger orbits.
Alternatively, they may have been created as 2nd-generation planets during the
last million years from the substantial amount of material lost during the
creation of the binary, making them the youngest planets known. Either solution
shows how little we actually understand about planetary formation.
",https://export.arxiv.org/pdf/1102.0508
"Title:
The Atlas3D project - V. The CO Tully-Fisher relation of early-type  galaxies","
Abstract: We demonstrate here using both single-dish and interferometric observations
that CO molecules are an excellent kinematic tracer, even in high-mass
galaxies, allowing us to investigate for the first time the CO Tully-Fisher
relation of early-type galaxies. We compare the Tully-Fisher relations produced
using both single-dish and interferometric data and various inclination
estimation methods, and evaluate the use of the velocity profile shape as a
criterion for selecting galaxies in which the molecular gas extends beyond the
peak of the rotation curve. We show that the gradient and zero-point of the
best-fit relations are robust, independent of the velocity measure and
inclination used, and agree with those of relations derived using stellar
kinematics. We also show that the early-type CO Tully-Fisher (CO-TF) relation
is offset from the CO-TF of spirals by 0.98 \pm 0.22 magnitude at Ks-band, in
line with other results. The intrinsic scatter of the relation is found to be
\approx 0.4 magnitudes, similar to the level found in the spiral galaxy
population. Next generation facilities such as the Large Millimeter Telescope
(LMT) and the Atacama Large Millimeter/Sub-millimeter Array (ALMA) should allow
this technique to be used in higher-redshift systems, providing a simple new
tool to trace the mass-to-light ratio evolution of the most massive galaxies
over cosmic time.
",https://export.arxiv.org/pdf/1102.4877
