Ttile,Annotation,PDF
Title:Accretion and Outflow in V404 Cyg,"
Abstract:  We study the optical evolution of the 2015 outburst in V404 Cyg, with
emphasis on the peculiar nebular phase and subsequent decay to quiescence. From
the decay timescale of the Balmer emission associated with the nebula we
measure an outflow mass M_wind~4x10^{-6} Msun. Remarkably, this is ~100 times
larger than the accreted mass and ~10% of the total mass stored in the disc.
The wind efficiency must therefore be significantly larger than previous
estimates for black hole transients, suggesting that radiation pressure (in
addition to other mechanisms such as Compton-heating) plays a key role in V404
Cyg. In addition, we compare the evolution of the 2015 and 1989 outbursts and
find clear similarities (namely a large luminosity drop ~10 d after the X-ray
trigger, followed by a brief nebular phase) but also remarkable differences in
decay timescales and long-term evolution of the Halpha profile. In particular,
we see evidence for a rapid disc contraction in 2015, consistent with a burst
of mass transfer. This could be driven by the response of the companion to hard
X-ray illumination, most notably during the last gigantic (super-Eddington)
flare on 25 June 2015. We argue that irradiation and consequential disc wind
are key factors to understand the different outburst histories in 1989 and
2015. In the latter case, radiation pressure may be responsible for the abrupt
end of the outburst through depleting inner parts of the disc, thus quenching
accretion and X-ray irradiation. We also present a refined orbital period and
updated ephemeris.

    ",https://arxiv.org/pdf/1907.00005
Title:Testing gravity with interstellar precursor missions,"
Abstract:  We consider how the trajectory of an interstellar precursor mission would be
affected by the gravity of the Sun in Newtonian and Milgromian dynamics (MOND).
The Solar gravity is ${\approx 50\%}$ stronger in MOND beyond a distance of
${\approx 7000}$ astronomical units, the MOND radius of the Sun. A spacecraft
travelling at $0.01 \, c$ reaches this distance after 11.1 years. We show that
the extra gravity in MOND causes an anomalous deceleration that reduces its
radial velocity by ${\approx 3}$ cm/s and the two-way light travel time from
the inner Solar System by ${\approx 0.1}$ seconds after 20 years. A distinctive
signature of MOND is that the gravity from the Sun is not directly towards it.
This is due to the non-linear nature of MOND and the external gravitational
field from the rest of the Galaxy, which we self-consistently include in our
calculations. As a result, the sky position of the spacecraft would deviate by
up to 0.2 mas over 20 years. This deviation is always in the plane containing
the spacecraft trajectory and the direction towards the Galactic Centre. By
launching spacecraft in different directions, it is possible to test the
characteristic pattern of angular deviations expected in MOND. This would
minimize the chance that any detected anomalies are caused by other processes
like drag from the interstellar medium. Such confounding factors could also be
mitigated using an onboard accelerometer to measure non-gravitational forces.
We briefly discuss how the gravity theories could be conclusively distinguished
using a Cavendish-style active gravitational experiment beyond the Sun's MOND
radius.

    ",https://arxiv.org/pdf/1907.00006
Title:The MOSDEF Survey: Direct-Method Metallicities and ISM Conditions at $z\sim1.5-3.5$,"
Abstract:  We present detections of [OIII]$\lambda$4363 and direct-method metallicities
for star-forming galaxies at $z=1.7-3.6$. We combine new measurements from the
MOSFIRE Deep Evolution Field (MOSDEF) survey with literature sources to
construct a sample of 18 galaxies with direct-method metallicities at $z>1$,
spanning $7.5<1$2+log(O/H$)<8.2$ and log(M$_*$/M$_{\odot})=7-10$. We find that
strong-line calibrations based on local analogs of high-redshift galaxies
reliably reproduce the metallicity of the $z>1$ sample on average. We construct
the first mass-metallicity relation at $z>1$ based purely on direct-method O/H,
finding a slope that is consistent with strong-line results. Direct-method O/H
evolves by $\lesssim0.1$ dex at fixed M$_*$ and SFR from $z\sim0-2.2$. We
employ photoionization models to constrain the ionization parameter and
ionizing spectrum in the high-redshift sample. Stellar models with super-solar
O/Fe and binary evolution of massive stars are required to reproduce the
observed strong-line ratios. We find that the $z>1$ sample falls on the
$z\sim0$ relation between ionization parameter and O/H, suggesting no evolution
of this relation from $z\sim0$ to $z\sim2$. These results suggest that the
offset of the strong-line ratios of this sample from local excitation sequences
is driven primarily by a harder ionizing spectrum at fixed nebular metallicity
compared to what is typical at $z\sim0$, naturally explained by super-solar
O/Fe at high redshift caused by rapid formation timescales. Given the extreme
nature of our $z>1$ sample, the implications for representative $z\sim2$ galaxy
samples at $\sim10^{10}$ M$_{\odot}$ are unclear, but similarities to $z>6$
galaxies suggest that these conclusions can be extended to galaxies in the
epoch of reionization.

    ",https://arxiv.org/pdf/1907.00013
Title:Predicting the LISA white dwarf binary population in the Milky Way with cosmological simulations,"
Abstract:  Short-period (P<1 hour) white dwarf binaries will be the most numerous
sources for the space-based gravitational wave detector LISA. Based on
thousands of resolved systems, we will be able to constrain binary evolution
and provide a new map of the Milky Way and its surroundings. Here we predict
the main properties of populations of different types of detached white dwarf
binaries detected by LISA. For the first time, we combine a high-resolution
cosmological simulation of a Milky Way-mass galaxy (from the FIRE project) with
a binary population synthesis model for low and intermediate mass stars. Our
model therefore provides a cosmologically realistic star formation and
metallicity history for the galaxy and naturally produces its different
components such as the thin and thick disk, the bulge, the stellar halo, and
satellite galaxies and streams. With the simulation, we show how different
galactic components contribute differently to the gravitational wave signal,
due to their typical age and distance distributions. We find that the dominant
LISA sources will be He-He systems and He-CO systems with important
contributions from the thick disk and bulge but also a few systems in the
stellar halo. The resulting sky map of the sources is different from previous
models, with important consequences for the searches for electromagnetic
counterparts and data analysis. We also emphasize that much of the
science-enabling information regarding white dwarf binaries, such as the chirp
mass and the sky localisation, becomes increasingly rich with long
observations, including an extended mission up to 8 years.

    ",https://arxiv.org/pdf/1907.00014
Title:Dark matter heating of gas accreting onto Sgr A$^*$,"
Abstract:  We study effects of heating by dark matter (DM) annihilation on black hole
gas accretion. We observe that, for reasonable assumptions about DM densities
in spikes around supermassive black holes, as well as DM masses and
annihilation cross-sections within the standard WIMP model, heating by DM
annihilation may have an appreciable effect on the accretion onto Sgr A$^*$ in
the Galactic center. Motivated by this observation we study the effects of such
heating on Bondi accretion, i.e. spherically symmetric, steady-state Newtonian
accretion onto a black hole. We consider different adiabatic indices for the
gas, and different power-law exponents for the DM density profile. We find that
typical transonic solutions with heating have a significantly reduced accretion
rate. However, for many plausible parameters, transonic solutions do not exist,
suggesting a breakdown of the underlying assumptions of steady-state Bondi
accretion. Our findings indicate that heating by DM annihilation may play an
important role in the accretion onto supermassive black holes at the center of
galaxies, and may help explain the low accretion rate observed for Sgr A$^*$.

    ",https://arxiv.org/pdf/1907.00015
Title:Fast Radio Bursts from Magnetars Born in Binary Neutron Star Mergers and Accretion Induced Collapse,"
Abstract:  Recently born magnetars are promising candidates for the engines powering
fast radio bursts (FRBs). The focus thus far has been placed on millisecond
magnetars born in rare core-collapse explosions, motivated by the star forming
dwarf host galaxy of the repeating FRB 121102, which is remarkably similar to
the hosts of superluminous supernovae (SLSNe) and long gamma-ray bursts (LGRB).
However, long-lived magnetars may also be created in binary neutron star (BNS)
mergers, in the small subset of cases with a sufficiently low total mass for
the remnant to avoid collapse to a black hole, or in the accretion-induced
collapse (AIC) of a white dwarf. A BNS FRB channel will be characterized by
distinct host galaxy and spatial offset distributions than the SLSNe/LGRB
channel; we anticipate a similar host population, although possibly different
offset distribution for AIC events. We show that both the BNS and AIC channels
are consistent with the recently reported FRB 180924, localized by ASKAP to a
massive quiescent host galaxy with an offset of about 1.4 effective radii.
Using models calibrated to FRB 121102, we make predictions for the dispersion
measure, rotation measure, and persistent radio emission from magnetar FRB
sources born in BNS mergers or AIC, and show these are consistent with upper
limits from FRB 180924 for reasonable parameters. Depending on the rate of AIC,
and the fraction of BNS mergers leaving long-lived stable magnetars, the birth
rate of repeating FRB sources associated with older stellar populations could
be comparable to that of the core-collapse channel. We also discuss potential
differences in the repetition properties of these channels, as a result of
differences in the characteristic masses and magnetic fields of the magnetars.

    ",https://arxiv.org/pdf/1907.00016
Title:Observing cosmological binary mergers with next generation neutrino and gravitational wave detectors,"
Abstract:  We discuss the potential of detecting thermal neutrinos from matter-rich
binary mergers, via a decades-long multi-messenger campaign involving a
Mt-scale water Cherenkov neutrino detector and one or more next generation
gravitational wave detectors, capable of observing mergers up to redshift
$z\sim 2$. The search of neutrinos in time-coincidence with gravitational wave
detections will allow to identify single neutrinos from individual mergers
above the background, and to study their distributions in energy, redshift and
type (double neutron-star or neutron-star-black hole merger) of the candidate
sources. We find that, for merger rates consistent with current LIGO-Virgo
constraints, and for a $100~{\rm Mt\cdot yr}$ exposure, between ${\mathcal
O(10^{-1})}$ and ${\mathcal O(10)}$ neutrino events are expected. For extreme
cases of mergers with more than $10^{52}$ ergs emitted in $\mathrel{{\bar
\nu}_e}$, the number of events can be as large as $\sim 100$, with sensitivity
to mergers up to redshift $z\sim 0.5$ or so. Such scenarios can already be
tested with a $10~{\rm Mt\cdot yr}$ exposure, resulting in constraints on the
post-merger evolution of the systems being considered.

    ",https://arxiv.org/pdf/1907.00034
Title:The Reconstructed Power Spectrum in the Zeldovich Approximation,"
Abstract:  Density-reconstruction sharpens the baryon acoustic oscillations signal by
undoing some of the smoothing incurred by nonlinear structure formation. In
this paper we present an analytical model for reconstruction based on the
Zeldovich approximation, which for the first time includes a complete set of
counterterms and bias terms up to quadratic order and can fit real and
redshift-space data pre- and post-reconstruction data in both Fourier and
configuration space over a wide range of scales. We compare our model to n-body
data at $z = 0$ from the {\tt DarkSky} simulation \cite{skillman14}, finding
sub-percent agreement in both real space and in the redshift-space power
spectrum monopole out to $k = 0.4\ h$ Mpc$^{-1}$, and out to $k = 0.2\ h$
Mpc$^{-1}$ in the quadrupole, with comparable agreement in configuration space.
We compare our model with several popular existing alternatives, updating
existing theoretical results for exponential damping in wiggle/no-wiggle splits
of the BAO signal and discuss the usually-ignored effect of higher bias
contributions on the reconstructed signal. In the appendices, we re-derive the
former within our formalism, present exploratory results on higher-order
corrections due to nonlinearities inherent to reconstruction, and present
numerical techniques with which to calculate the redshift-space power spectrum
of biased tracers within the Zeldovich approximation.

    ",https://arxiv.org/pdf/1907.00043
Title:A Survey for New Members of Taurus from Stellar to Planetary Masses,"
Abstract:  We present a large sample of new members of the Taurus star-forming region
that extend from stellar to planetary masses. To identify candidate members at
substellar masses, we have used color-magnitude diagrams and proper motions
measured with several wide-field optical and infrared (IR) surveys. At stellar
masses, we have considered the candidate members that were found in a recent
analysis of high-precision astrometry from the Gaia mission. Using new and
archival spectra, we have measured spectral types and assessed membership for
these 161 candidates, 79 of which are classified as new members. Our updated
census of Taurus now contains 519 known members. According to Gaia data, this
census should be nearly complete for spectral types earlier than M6-M7 at
A_J<1. For a large field encompassing ~72% of the known members, the census
should be complete for K<15.7 at A_J<1.5, which corresponds to ~5-13 M_Jup for
ages of 1-10 Myr based on theoretical evolutionary models. Our survey has
doubled the number of known members at greater or equal to M9 and has uncovered
the faintest known member in M_K, which should have a mass of ~3-10 M_Jup for
ages of 1-10 Myr. We have used mid-IR photometry from the Spitzer Space
Telescope and the Wide-field Infrared Survey Explorer to determine whether the
new members exhibit excess emission that would indicate the presence of
circumstellar disks. The updated disk fraction for Taurus is ~0.7 at less than
or equal to M3.5 and ~0.4 at >M3.5.

    ",https://arxiv.org/pdf/1907.00055
Title:A new estimator for gravitational lensing using galaxy and intensity mapping surveys,"
Abstract:  We introduce the Galaxy Intensity Mapping cross-COrrelation estimator
(GIMCO), which is a new tomographic estimator for the gravitational lensing
potential, based on a combination of intensity mapping (IM) and galaxy number
counts. The estimator can be written schematically as
IM$(z_f)\times$galaxy$(z_b)$ $-$ galaxy$(z_f)\times$IM$(z_b)$ for a pair of
distinct redshifts $(z_f,z_b)$; this combination allows to greatly reduce the
contamination by density-density correlations, thus isolating the lensing
signal. As an estimator constructed only from cross-correlations, it is
additionally less susceptible to systematic effects. We show that the new
estimator strongly suppresses cosmic variance and consequently improves the
signal-to-noise ratio (SNR) for the detection of lensing, especially on linear
scales and intermediate redshifts. %This makes it particularly valuable for
future studies of dark energy and modified gravity. For cosmic variance
dominated surveys, the SNR of our estimator is a factor 30 larger than the SNR
obtained from the correlation of galaxy number counts only. Shot noise and
interferometer noise reduce the SNR. For the specific example of the Dark
Energy Survey (DES) cross-correlated with the Hydrogen Intensity mapping and
Real time Analysis eXperiment (HIRAX), the SNR is around 4, whereas for Euclid
cross-correlated with HIRAX it reaches 52. This corresponds to an improvement
of a factor 4-5 compared to the SNR from DES alone. For Euclid cross-correlated
with HIRAX the improvement with respect to Euclid alone strongly depends on the
redshift. We find that the improvement is particularly important for redshifts
below 1.6, where it reaches a factor of 5. This makes our estimator especially
valuable to test dark energy and modified gravity, that are expected to leave
an impact at low and intermediate redshifts.

    ",https://arxiv.org/pdf/1907.00071
