Ttile,Annotation,PDF
"Title:Discovery of ammonia (9,6) masers in two high-mass star-forming regions","
Abstract:  Molecular maser lines are signposts of high-mass star formation, probing
excitation and kinematics of very compact regions in the close environment of
young stellar objects and providing useful targets for trigonometric parallax
measurements. Only a few NH$_{3}$ (9,6) masers were known so far, and their
origin is still poorly understood. Here we aim to find new NH$_{3}$ (9,6)
masers to provide a better observational basis to study their role in high-mass
star-forming regions. We carried out NH$_{3}$ (9,6) observations toward Cepheus
A and G34.26$+$0.15 with the Effelsberg-100 m telescope and the Karl G. Janksy
Very Large Array. We discovered new NH$_{3}$ (9,6) masers in Cep A and
G34.26$+$0.15, which increases the number of high-mass star-forming regions
hosting NH$_{3}$ (9,6) masers from five to seven. Long term monitoring (20
months) at Effelsberg shows that the intensity of the (9,6) maser in
G34.26$+$0.15 is decreasing, while the Cep A maser remains stable. Compared to
the Effelsberg data and assuming linear variations between the epochs of
observation, the JVLA data indicate no missing flux. This suggests that the
NH$_3$ (9,6) emission arises from single compact emission regions that are not
resolved by the interferometric measurements. As JVLA imaging shows, the
NH$_{3}$ (9,6) emission in Cep A originates from a sub-arcsecond sized region,
slightly to the west of the peak position of the 1.36\,cm continuum object,
HW2. In G34.26$+$0.15, three NH$_{3}$ (9,6) maser spots are observed: one is
close to the head of the cometary ultracompact \h2 region C and the other two
are emitted from a compact region to the west of the hypercompact \h2 region A.
The newly found (9,6) masers appear to be related to outflows. Higher angular
resolution of JVLA and VLBI observations are needed to provide more accurate
positions and constraints for pumping scenarios.

    ",https://arxiv.org/pdf/2201.00021
Title:The Formation of Intermediate Mass Black Holes in Galactic Nuclei,"
Abstract:  Most stellar evolution models predict that black holes (BHs) should not exist
above approximately $50-70$ M$_\odot$, the lower limit of the pair-instability
mass gap. However, recent LIGO/Virgo detections indicate the existence of BHs
with masses at and above this threshold. We suggest that massive BHs, including
intermediate mass black holes (IMBHs), can form in galactic nuclei through
collisions between stellar-mass black holes and the surrounding main-sequence
stars. Considering dynamical processes such as collisions, mass segregation,
and relaxation, we find that this channel can be quite efficient, forming IMBHs
as massive as $10^4$ M$_\odot$. This upper limit assumes that (1) the BHs
accrete a substantial fraction of the stellar mass captured during each
collision and (2) that the rate at which new stars are introduced into the
region near the SMBH is high enough to offset depletion by stellar disruptions
and star-star collisions. We discuss deviations from these key assumptions in
the text. Our results suggest that BHs in the pair-instability mass gap and
IMBHs may be ubiquitous in galactic centers. This formation channel has
implications for observations. Collisions between stars and BHs can produce
electromagnetic signatures, for example, from x-ray binaries and tidal
disruption events. Additionally, formed through this channel, both black holes
in the mass gap and IMBHs can merge with the supermassive black hole at the
center of a galactic nucleus through gravitational waves. These gravitational
wave events are extreme and intermediate mass ratio inspirals (EMRIs and IMRIs,
respectively).

    ",https://arxiv.org/pdf/2201.00022
Title:Exploring new techniques for analyzing variability in white dwarf KIC 8626021,"
Abstract:  As is common with the collection of astronomical data, signals are frequently
dominated by noise. However, when performing FTs of light curves, re-binning
data can improve the signal-to-noise ratio (SNR) at lower frequencies. Using
data collected from the Kepler space telescope, we sequentially re-binned data
three times to investigate the SNR improvement of lower frequency (< 17
microHz) variability in white dwarf KIC 8626021. We found that the SNR at
approximately 5.8 microHz greatly improved through this process, and we
postulate that this frequency is linked to the rotation of KIC 8626021.

    ",https://arxiv.org/pdf/2201.00029
Title:The influence of a fluid core and a solid inner core on the Cassini sate of Mercury,"
Abstract:  We present a model of the Cassini state of Mercury that comprises an inner
core, a fluid core and a mantle. Our model includes inertial and gravitational
torques between interior regions, and viscous and electromagnetic (EM) coupling
at the boundaries of the fluid core. We show that the coupling between
Mercury's interior regions is sufficiently strong that the obliquity of the
mantle spin axis deviates from that of a rigid planet by no more than 0.01
arcmin. The mantle obliquity decreases with increasing inner core size, but the
change between a large and no inner core is limited to 0.015 arcmin. EM
coupling is stronger than viscous coupling at the inner core boundary and, if
the core magnetic field strength is above 0.3 mT, locks the fluid and solid
cores into a common precession motion. Because of the strong gravitational
coupling between the mantle and inner core, the larger the inner core is, the
more this co-precessing core is brought into an alignment with the mantle, and
the more the obliquity of the polar moment of inertia approaches that expected
for a rigid planet. The misalignment between the polar moment of inertia and
mantle spin axis increases with inner core size, but is limited to 0.007
arcmin. Our results imply that the measured obliquities of the mantle spin axis
and polar moment of inertia should coincide at the present-day level of
measurement errors, and cannot be distinguished from the obliquity of a rigid
planet.

    ",https://arxiv.org/pdf/2201.00037
"Title:A MeerKAT, e-MERLIN, H.E.S.S. and Swift search for persistent and transient emission associated with three localised FRBs","
Abstract:  We report on a search for persistent radio emission from the one-off Fast
Radio Burst (FRB) 20190714A, as well as from two repeating FRBs, 20190711A and
20171019A, using the MeerKAT radio telescope. For FRB 20171019A we also
conducted simultaneous observations with the High Energy Stereoscopic System
(H.E.S.S.) in very high energy gamma rays and searched for signals in the
ultraviolet, optical, and X-ray bands. For this FRB, we obtain a UV flux upper
limit of 1.39x10^-16 erg/cm^-2/s/Amstrong, X-ray limit of ~ 6.6x10^-14
erg/cm^-2/s and a limit on the very-high-energy gamma-ray flux (Phi) (E > 120
GeV) < 1.7 x 10^-12 erg/cm^-2/s. We obtain a radio upper limit of ~15
microJy/beam for persistent emission at the locations of both FRBs 20190711A
and 20171019A, but detect diffuse radio emission with a peak brightness of ~53
microJy/beam associated with FRB 20190714A at z = 0.2365. This represents the
first detection of the radio continuum emission potentially associated with the
host (galaxy) of FRB 20190714A, and is only the third known FRB to have such an
association. Given the possible association of a faint persistent source, FRB
20190714A may potentially be a repeating FRB whose age lies between that of FRB
20121102A and FRB 20180916A. A parallel search for repeat bursts from these
FRBs revealed no new detections down to a fluence of 0.08 Jy ms for a 1 ms
duration burst.

    ",https://arxiv.org/pdf/2201.00069
Title:Multiple stellar populations in Schwarzschild modeling and the application to the Fornax dwarf,"
Abstract:  Dwarf spheroidal (dSph) galaxies are believed to be strongly dark matter
dominated and thus are considered perfect objects to study dark matter
distribution and test theories of structure formation. They possess resolved,
multiple stellar populations that offer new possibilities for modeling. A
promising tool for the dynamical modeling of these objects is the Schwarzschild
orbit superposition method. In this work we extend our previous implementation
of the scheme to include more than one population of stars and a more general
form of the mass-to-light ratio function. We tested the improved approach on a
nearly spherical, gas-free galaxy formed in the cosmological context from the
Illustris simulation. We modeled the binned velocity moments for stars split
into two populations by metallicity and demonstrate that in spite of larger
sampling errors the increased number of constraints leads to significantly
tighter confidence regions on the recovered density and velocity anisotropy
profiles. We then applied the method to the Fornax dSph galaxy with stars
similarly divided into two populations. In comparison with our earlier work, we
find the anisotropy parameter to be slightly increasing, rather than
decreasing, with radius and more strongly constrained. We are also able to
infer anisotropy for each stellar population separately and find them to be
significantly different.

    ",https://arxiv.org/pdf/2201.00151
Title:Imaging the Sun's near-surface flows using mode-coupling analysis,"
Abstract:  The technique of normal-mode coupling is a powerful tool with which to
seismically image non-axisymmetric phenomena in the Sun. Here we apply mode
coupling in the Cartesian approximation to probe steady, near-surface flows in
the Sun. Using Doppler cubes obtained from the Helioseismic and Magnetic Imager
onboard the Solar Dynamics Observatory, we perform inversions on mode-coupling
measurements to show that the resulting divergence and radial vorticity maps at
supergranular length scales ($\sim$30 Mm) near the surface compare extremely
well with those obtained using the Local Correlation Tracking method. We find
that the Pearson correlation coefficient is $\geq$ 0.9 for divergence flows,
while $\geq$ 0.8 is obtained for the radial vorticity.

    ",https://arxiv.org/pdf/2201.00178
Title:Local heating due to convective overshooting and the solar modelling problem,"
Abstract:  Recent hydrodynamical simulations of convection in a solar-like model suggest
that penetrative convective flows at the boundary of the convective envelope
modify the thermal background in the overshooting layer. Based on these
results, we implement in one-dimensional stellar evolution codes a simple
prescription to modify the temperature gradient below the convective boundary
of a solar model. This simple prescription qualitatively reproduces the
behaviour found in the hydrodynamical simulations, namely a local heating and
smoothing of the temperature gradient below the convective boundary. We show
that introducing local heating in the overshooting layer can reduce the
sound-speed discrepancy usually reported between solar models and the structure
of the Sun inferred from helioseismology. It also affects key quantities in the
convective envelope, such as the density, the entropy, and the speed of sound.
These effects could help reduce the discrepancies between solar models and
observed constraints based on seismic inversions of the Ledoux discriminant.
Since mixing due to overshooting and local heating are the result of the same
convective penetration process, the goal of this work is to invite solar
modellers to consider both processes for a more consistent approach.

    ",https://arxiv.org/pdf/2201.00200
Title:The period-age relation of long-period variables,"
Abstract:  Pieces of empirical evidence suggest the existence of a period-age relation
for long-period variables (LPVs). Yet, this property has hardly been studied on
theoretical grounds thus far. We aim to examine the period-age relation using
the results from recent nonlinear pulsation calculations. We combined isochrone
models with theoretical periods to simulate the distribution of fundamental
mode LPV pulsators, which include Miras, in the period-age plane, and we
compared it with observations of LPVs in Galactic and Magellanic Clouds'
clusters. In agreement with observations, models predict that the fundamental
mode period decreases with increasing age because of the dominant role of mass
in shaping stellar structure and evolution. At a given age, the period
distribution shows a non-negligible width and is skewed toward short periods,
except for young C-rich stars. As a result, the period-age relations of O-rich
and C-rich models are predicted to have different slopes. We derived best-fit
relations describing age and initial mass as a function of the fundamental mode
period for both O- and C-rich models. The study confirms the power of the
period-age relations to study populations of LPVs of specific types, either
O-rich or C-rich, on statistical grounds. In doing so, it is recommended not to
limit a study to Miras, which would make it prone to selection biases, but
rather to include semi-regular variables that pulsate predominantly in the
fundamental mode. The use of the relations to study individual LPVs, on the
other hand, requires more care given the scatter in the period distribution
predicted at any given age.

    ",https://arxiv.org/pdf/2201.00201
Title:Temperature Analysis of Flaring (AR11283) and non-Flaring (AR12194) Coronal Loops,"
Abstract:  Here, we study the temperature structure of flaring and non-flaring coronal
loops, using extracted loops from images taken in six extreme ultraviolet (EUV)
channels recorded by Atmospheric Imaging Assembly (AIA)/ Solar Dynamic
Observatory (SDO). We use data for loops of X2.1-class-flaring active region
(AR11283) during 22:10UT till 23:00UT, on 2011, September 6; and non-flaring
active region (AR12194) during 08:00:00UT till 09:00:00UT on 2014, October 26.
By using spatially-synthesized Gaussian DEM forward-fitting method, we
calculate the peak temperatures for each strip of the loops. We apply the
Lomb-Scargle method to compute the oscillations periods for the temperature
series of each strip. The periods of the temperature oscillations for the
flaring loops are ranged from 7 min to 28.4 min. These temperature oscillations
show very close behavior to the slow-mode oscillation. We observe that the
temperature oscillations in the flaring loops are started at least around 10
minutes before the transverse oscillations and continue for a long time
duration even after the transverse oscillations are ended. The temperature
amplitudes are increased at the flaring time (during 20 min) in the flaring
loops. The periods of the temperatures obtained for the non-flaring loops are
ranged from 8.5 min to 30 min, but their significances are less (below 0.5) in
comparison with the flaring ones (near to one). Hence the detected temperature
periods for the non-flaring loops' strips are less probable in comparison with
the flaring ones, and maybe they are just fluctuations.
Based on our confined observations, it seems that the flaring loops' periods
show more diversity and their temperatures have wider ranges of variation than
the non-flaring ones. More accurate commentary in this respect requires more
extensive statistical research and broader observations.

    ",https://arxiv.org/pdf/2201.00214
